,Unnamed: 0,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan,Cluster
159,159,2017,0,0.6153846153846153,0.1666666666666666,0,0.1206030150753769,0.0156599552572706,1
213,213,2018,0.06603773584905659,0.6153846153846153,0.1666666666666666,0,0.185929648241206,0.0156599552572706,1
103,103,2022,0.05094339622641508,0.6923076923076922,0.1666666666666666,0,0.1206030150753769,0.0111856823266219,1
214,214,2020,0.5377358490566038,0.6923076923076922,0.3333333333333333,0,0.2763819095477386,0.0715883668903803,1
216,216,2019,0.2396226415094339,0.6923076923076922,0.1666666666666666,0,0.2412060301507537,0.0290827740492169,1
100,100,2019,0.5566037735849056,0.6923076923076922,0.3333333333333333,0,0.0703517587939698,0.3243847874720358,1
217,217,2020,0.16981132075471694,0.6923076923076922,0.1666666666666666,0,0.1909547738693467,0.0290827740492169,1
98,98,2018,0.14716981132075468,0.5384615384615384,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,1
97,97,2020,0.14716981132075468,0.6153846153846153,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,1
96,96,2019,0.14150943396226412,0.846153846153846,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,1
95,95,2018,0.1132075471698113,1,0.1666666666666666,0,0.2613065326633166,0.0380313199105145,1
220,220,2018,0.05094339622641508,0.5384615384615384,0.3333333333333333,0.3333333333333333,0.1809045226130653,0.1230425055928411,1
222,222,2020,0.23584905660377353,0.6923076923076922,0.1666666666666666,0,0,0.1096196868008948,1
91,91,2021,0.33018867924528295,0.923076923076923,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,1
89,89,2020,0.13207547169811318,0.4615384615384615,0,0,0.1758793969849246,0.0290827740492169,1
105,105,2019,0.5188679245283019,0.5384615384615384,0.1666666666666666,0,0.2110552763819095,0.0290827740492169,1
88,88,2022,0.14716981132075468,0.6923076923076922,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,1
