,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan,Cluster
132,2018,0.9226415094339624,0.4615384615384615,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.116331096196868,1
276,2019,0.5188679245283019,0.15384615384615377,0,0.6666666666666667,0,0.1096196868008948,1
156,2022,0.9056603773584904,0.07692307692307689,0.1666666666666666,0.3333333333333333,0.2763819095477386,0.0626398210290827,1
265,2012,1,0.07692307692307689,0.5,0.3333333333333333,0,0.1096196868008948,1
35,2022,0.1924528301886792,0.4615384615384615,0.3333333333333333,0.3333333333333333,0.4271356783919597,0.0827740492170022,1
264,2015,0.9226415094339624,0,0.6666666666666666,0.3333333333333333,0.1206030150753769,0.2170022371364653,1
263,2016,0.660377358490566,0,0.1666666666666666,0.3333333333333333,0,0.1096196868008948,1
260,2012,0.660377358490566,0.07692307692307689,0.3333333333333333,0.3333333333333333,0,0.1230425055928411,1
257,2014,0,0,0.3333333333333333,0.6666666666666667,0,0.1096196868008948,1
164,2018,0.9226415094339624,0.07692307692307689,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.116331096196868,1
255,2019,0.660377358490566,0.23076923076923064,0.3333333333333333,0.3333333333333333,0,0.1096196868008948,1
45,2021,0.5188679245283019,0,0.3333333333333333,0.3333333333333333,0.3266331658291457,0.105145413870246,1
250,2021,0.839622641509434,0.07692307692307689,0.3333333333333333,0.3333333333333333,0.1809045226130653,0.1230425055928411,1
249,2017,0.1867924528301886,0,0.1666666666666666,0.6666666666666667,0,0.1096196868008948,1
106,2019,0.9150943396226416,0,0.3333333333333333,0.3333333333333333,0.321608040201005,0.105145413870246,1
56,2017,0.2830188679245282,0.07692307692307689,0.1666666666666666,0.3333333333333333,0.1557788944723618,0.0984340044742729,1
58,2016,0.2830188679245282,0,0.3333333333333333,0.3333333333333333,0.0904522613065326,0.1275167785234899,1
59,2018,0.9150943396226416,0,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.1208053691275167,1
235,2022,0.5566037735849056,0,0.6666666666666666,0.6666666666666667,0.4221105527638191,0.2304250559284116,1
133,2017,0.9150943396226416,0.23076923076923064,0.3333333333333333,0.3333333333333333,0.3115577889447236,0.116331096196868,1
230,2019,0.150943396226415,0,0.1666666666666666,0.3333333333333333,0.1206030150753769,0.1275167785234899,1
93,2018,0.9226415094339624,0.30769230769230765,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.1208053691275167,1
193,2018,0.9226415094339624,0.30769230769230765,1,1,1,1,1
205,2010,0.9150943396226416,0.15384615384615377,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.1208053691275167,1
277,2016,0.839622641509434,0.30769230769230765,0.1666666666666666,0.6666666666666667,0,0.1364653243847874,1
278,2015,0.1132075471698113,0.07692307692307689,0.1666666666666666,0.6666666666666667,0,0.1096196868008948,1
258,2017,0.1867924528301886,0,0.1666666666666666,0.3333333333333333,0,0.1029082774049217,1
82,2017,0.9150943396226416,0,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.116331096196868,1
